"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office","EmployeeID","Description","StreetAddress","MobilePhone","EmployeeType","City","State","PostalCode"
"Accounting","CN=Jill Frank","True","Jill","jillf","CN=Karim Manar","Jill Frank","user","5a9e505a-a18f-4bf7-954e-255cd1ceafec","(425) 555-9559","jillf","S-1-5-21-331390976-2650875657-2422772959-1844","Frank","Frank","Accountant","","Seattle - Finance","EMP140","Accountant in Accounting department","789 Financial Center","(425) 555-9560","Full-time","Seattle","WA","98103"
"Accounting","CN=Joel Lachance","True","Joel","joell","CN=Karim Manar","Joel Lachance","user","acb51c31-6b51-4d80-bdb5-f55f982cdaf6","(206) 555-6848","joell","S-1-5-21-331390976-2650875657-2422772959-1845","Lachance","Lachance","Accountant","","Seattle - Finance","EMP141","Accountant in Accounting department","789 Financial Center","(206) 555-6849","Full-time","Seattle","WA","98103"
"Strategy Consulting","CN=John John","True","John","johne","CN=Aaron Painter","John John","user","c12c238f-5f1a-4e26-8786-536be9589214","(206) 555-5846","johne","S-1-5-21-331390976-2650875657-2422772959-1846","John","John","Strategy Consultant","","Seattle - Main","EMP142","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-5847","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Jun Cao","True","Jun","junc","CN=Cesar Garcia","Jun Cao","user","94594a6a-d619-403b-a2c4-df1a6dd243af","(206) 555-3449","junc","S-1-5-21-331390976-2650875657-2422772959-1847","Cao","Cao","Strategy Consultant","","Seattle - Main","EMP143","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-3450","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Tony Wang","True","Tony","tonyw","CN=Ellen Adams","Tony Wang","user","a2455199-3552-440d-b834-2f92701b5713","(206) 555-4595","tonyw","S-1-5-21-331390976-2650875657-2422772959-1848","Wang","Wang","Strategy Consultant","","Seattle - Main","EMP144","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-4596","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Kenneth Cools","True","Kenneth","kennetc","CN=Brad Sutton","Kenneth Cools","user","bc1a8902-3723-4595-82c5-abef33280605","(206) 555-4886","kennetc","S-1-5-21-331390976-2650875657-2422772959-1849","Cools","Cools","Strategy Consultant","","Seattle - Main","EMP145","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-4887","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Steve Masters","True","Steve","stevem","CN=Cesar Garcia","Steve Masters","user","85c26295-3d53-4693-b74a-0a892268728c","(206) 555-4557","stevem","S-1-5-21-331390976-2650875657-2422772959-1850","Masters","Masters","Strategy Consultant","","Seattle - Main","EMP146","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-4558","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Lubor Kollar","True","Lubor","lubork","CN=Aaron Painter","Lubor Kollar","user","9dcc4bd9-6fe3-4228-b3c0-32ee0aa83d59","(206) 555-8223","lubork","S-1-5-21-331390976-2650875657-2422772959-1851","Kollar","Kollar","Strategy Consultant","","Seattle - Main","EMP147","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-8224","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Michael Ludwig","True","Michael","michael","CN=Cesar Garcia","Michael Ludwig","user","2cfec94e-ced9-41c2-bc54-c29f4bd2f3a8","(206) 555-6621","michael","S-1-5-21-331390976-2650875657-2422772959-1852","Ludwig","Ludwig","Strategy Consultant","","Seattle - Main","EMP148","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-6622","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Michael Lund","True","Michael","michal1","CN=Ellen Adams","Michael Lund","user","0f6e0712-63ea-47a3-b209-12b1bda75347","(206) 555-4295","michal1","S-1-5-21-331390976-2650875657-2422772959-1853","Lund","Lund","Strategy Consultant","","Seattle - Main","EMP149","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-4296","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Michael Sullivan","True","Michael","michaes","CN=Brad Sutton","Michael Sullivan","user","4f22439d-d769-46ec-a4cb-6fd4a05fbf23","(206) 555-8398","michaes","S-1-5-21-331390976-2650875657-2422772959-1854","Sullivan","Sullivan","Strategy Consultant","","Seattle - Main","EMP150","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-8399","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Ray Chow","True","Ray","rayc","CN=David Maman","Ray Chow","user","11afd577-064c-41a9-8a91-6635b8807294","(206) 555-5295","rayc","S-1-5-21-331390976-2650875657-2422772959-1855","Chow","Chow","Strategy Consultant","","Seattle - Main","EMP151","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-5296","Full-time","Seattle","WA","98101"
"Content Management Consulting","CN=Diane Glimp","True","Diane","dianeg","CN=Stan Orme","Diane Glimp","user","e9ad21c4-767b-44f7-be8a-e256e9e77002","(212) 555-3984","dianeg","S-1-5-21-331390976-2650875657-2422772959-1856","Glimp","Glimp","Content Management Consultant","","New York - Strategy","EMP152","Content Management Consultant in Content Management Consulting department","456 Madison Ave","(212) 555-3985","Full-time","New York","NY","10022"
"Strategy Consulting","CN=Ken Malcolmson","True","Ken","kenm","CN=Ellen Adams","Ken Malcolmson","user","6336e033-261a-4b4c-b800-3f407008ec7e","(206) 555-8879","kenm","S-1-5-21-331390976-2650875657-2422772959-1857","Malcolmson","Malcolmson","Strategy Consultant","","Seattle - Main","EMP153","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-8880","Full-time","Seattle","WA","98101"
"Project Management","CN=Manueal Machado","True","Manueal","manueam","CN=Barry Johnson","Manueal Machado","user","c38e3f7b-c5b1-4ba0-b7b8-4bcf317e7db8","(206) 555-2246","manueam","S-1-5-21-331390976-2650875657-2422772959-1858","Machado","Machado","Senior Project Manager","","Seattle - Main","EMP154","Senior Project Manager in Project Management department","123 Corporate Plaza","(206) 555-2247","Full-time","Seattle","WA","98101"
"Sales","CN=Luca Dellamore","True","Luca","lucad","CN=April Stewart","Luca Dellamore","user","27f11da9-3adb-4e08-8cf0-b7f8be26f2b9","(06) 5555-8461","lucad","S-1-5-21-331390976-2650875657-2422772959-1859","Dellamore","Dellamore","Salesperson","","Seattle - Main","EMP155","Salesperson in Sales department","123 Corporate Plaza","","Full-time","Seattle","WA","98101"
"Project Management","CN=Ivo Salmre","True","Ivo","ivos","CN=Andrew Ma","Ivo Salmre","user","e270560d-a319-44cb-8272-9f233fee39c0","(206) 555-2699","ivos","S-1-5-21-331390976-2650875657-2422772959-1860","Salmre","Salmre","Project Manager","","Seattle - Main","EMP156","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-2700","Full-time","Seattle","WA","98101"
"Sales","CN=Howard Gonzalez","True","Howard","howardg","CN=Lene Aalling","Howard Gonzalez","user","1a0d0c4c-35b4-4956-a10a-d11ffbc519d5","(20) 5555-6851","howardg","S-1-5-21-331390976-2650875657-2422772959-1861","Gonzalez","Gonzalez","Salesperson","","London - International","EMP157","Salesperson in Sales department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Sales","CN=Elizabeth Andersen","True","Elizabeth","elizaba","CN=Arthur Yasinski","Elizabeth Andersen","user","daf00fa4-53f0-4732-a404-1e7a164f77a1","(617) 555-7395","elizaba","S-1-5-21-331390976-2650875657-2422772959-1862","Andersen","Andersen","Salesperson","","Boston - Northeast","EMP158","Salesperson in Sales department","345 Beacon St","(617) 555-7396","Full-time","Boston","MA","02116"
"Project Management","CN=Denis Dehenne","True","Denis","denisd","CN=Barry Johnson","Denis Dehenne","user","1755cd16-eaa9-4d8d-9e0b-d6bb87c40479","(206) 555-6492","denisd","S-1-5-21-331390976-2650875657-2422772959-1863","Dehenne","Dehenne","Project Manager","","Seattle - Main","EMP159","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-6493","Full-time","Seattle","WA","98101"
"Sales","CN=David Wright","True","David","davidw","CN=David Simpson","David Wright","user","d2c272c5-1aff-46a0-a364-c101e2e22678","(404) 555-9264","davidw","S-1-5-21-331390976-2650875657-2422772959-1864","Wright","Wright","Salesperson","","Atlanta - Southeast","EMP160","Salesperson in Sales department","678 Peachtree St","(404) 555-9265","Full-time","Atlanta","GA","30309"
"Project Management","CN=Chris Barry","True","Chris","chrisb","CN=Mike Nash","Chris Barry","user","77f897be-83f6-4ad6-aec6-0b051223bb82","(206) 555-9267","chrisb","S-1-5-21-331390976-2650875657-2422772959-1865","Barry","Barry","Project Manager","","Seattle - Main","EMP161","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-9268","Full-time","Seattle","WA","98101"
"Project Management","CN=Ayla Kol","True","Ayla","aylak","CN=Scott Bishop","Ayla Kol","user","0f42a43f-7ae4-4e1d-aca2-8ed2f48da070","(206) 555-3448","aylak","S-1-5-21-331390976-2650875657-2422772959-1866","Kol","Kol","Project Manager","","Seattle - Main","EMP162","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-3449","Full-time","Seattle","WA","98101"
"Project Management","CN=Alisa Lawyer","True","Alisa","alisal","CN=Scott Bishop","Alisa Lawyer","user","17cc34d0-fda3-4061-a35b-989d01b1975e","(206) 555-4738","alisal","S-1-5-21-331390976-2650875657-2422772959-1867","Lawyer","Lawyer","Project Manager","","Seattle - Main","EMP163","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-4739","Full-time","Seattle","WA","98101"
"Project Management","CN=Simon Rapier","True","Simon","simonr","CN=Scott Bishop","Simon Rapier","user","52d68cec-3ea1-4efa-9502-a9f7855da055","(206) 555-9848","simonr","S-1-5-21-331390976-2650875657-2422772959-1868","Rapier","Rapier","Senior Project Manager","","Seattle - Main","EMP164","Senior Project Manager in Project Management department","123 Corporate Plaza","(206) 555-9849","Full-time","Seattle","WA","98101"
"Project Management","CN=Rob Barker","True","Rob","robb","CN=Chris Norred","Rob Barker","user","134976da-0e4a-4b54-8296-88ec813ee99c","(206) 555-2474","robb","S-1-5-21-331390976-2650875657-2422772959-1869","Barker","Barker","Project Manager","","Seattle - Main","EMP165","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-2475","Full-time","Seattle","WA","98101"
"Sales","CN=Hazem Abolrous","True","Hazem","hazema","CN=Lene Aalling","Hazem Abolrous","user","36ea36ef-6c7a-4a1f-b146-2f006196f4dd","(707) 555-3823","hazema","S-1-5-21-331390976-2650875657-2422772959-1870","Abolrous","Abolrous","Salesperson","","Seattle - Main","EMP166","Salesperson in Sales department","123 Corporate Plaza","(707) 555-3824","Full-time","Seattle","WA","98101"
"Project Management","CN=Ned Friend","True","Ned","nedf","CN=Chris Norred","Ned Friend","user","314ee328-bd7f-442e-b1d9-44b29f93f96a","(206) 555-8382","nedf","S-1-5-21-331390976-2650875657-2422772959-1871","Friend","Friend","Project Manager","","Seattle - Main","EMP167","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-8383","Full-time","Seattle","WA","98101"
"Project Management","CN=Richard Tupy","True","Richard","richart","CN=Andrew Ma","Richard Tupy","user","2727030f-81d6-4816-8bea-ee84608204bc","(206) 555-1694","richart","S-1-5-21-331390976-2650875657-2422772959-1872","Tupy","Tupy","Project Manager","","Seattle - Main","EMP168","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-1695","Full-time","Seattle","WA","98101"
"Project Management","CN=Don Funk","True","Don","donf","CN=Chris Norred","Don Funk","user","7eb81280-e285-4a1a-a1df-bd332fa9ec25","(206) 555-6561","donf","S-1-5-21-331390976-2650875657-2422772959-1873","Funk","Funk","Project Manager","","Seattle - Main","EMP169","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-6562","Full-time","Seattle","WA","98101"
"Project Management","CN=Dave Natsuhara","True","Dave","daven","CN=Chris Norred","Dave Natsuhara","user","4b17322a-7f61-4d6a-8ec2-e38d5024af99","(206) 555-9299","daven","S-1-5-21-331390976-2650875657-2422772959-1874","Natsuhara","Natsuhara","Project Manager","","Seattle - Main","EMP170","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-9300","Full-time","Seattle","WA","98101"
"Project Management","CN=Christian Rytt","True","Christian","christr","CN=Chris Norred","Christian Rytt","user","96d25c15-e37f-455c-b75f-69e5da969cc0","(206) 555-5488","christr","S-1-5-21-331390976-2650875657-2422772959-1875","Rytt","Rytt","Project Manager","","Seattle - Main","EMP171","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-5489","Full-time","Seattle","WA","98101"
"Project Management","CN=Ted Bremer","True","Ted","tedb","CN=Chris Norred","Ted Bremer","user","999dfb79-ae8a-46b5-96dd-9a4a665f1c83","(206) 555-3874","tedb","S-1-5-21-331390976-2650875657-2422772959-1876","Bremer","Bremer","Business Process Manager","","Seattle - Main","EMP172","Business Process Manager in Project Management department","123 Corporate Plaza","(206) 555-3875","Full-time","Seattle","WA","98101"
"Project Management","CN=Sean Purcell","True","Sean","seanp","CN=Chris Norred","Sean Purcell","user","4c46b704-4290-4fc4-bf7f-3e36e1afc0dc","(206) 555-6953","seanp","S-1-5-21-331390976-2650875657-2422772959-1877","Purcell","Purcell","Business Process Manager","","Seattle - Main","EMP173","Business Process Manager in Project Management department","123 Corporate Plaza","(206) 555-6954","Full-time","Seattle","WA","98101"
"Project Management","CN=Ray Mohrman","True","Ray","raym","CN=Barry Johnson","Ray Mohrman","user","f3631d6c-f336-4b68-82c7-54c0298f62ff","(206) 555-1471","raym","S-1-5-21-331390976-2650875657-2422772959-1878","Mohrman","Mohrman","Senior Project Manager","","Seattle - Main","EMP174","Senior Project Manager in Project Management department","123 Corporate Plaza","(206) 555-1472","Full-time","Seattle","WA","98101"
"Project Management","CN=Mike Tiano","True","Mike","miket","CN=Chris Norred","Mike Tiano","user","7491b038-f6dc-42c9-a856-928af8de77d6","(206) 555-6552","miket","S-1-5-21-331390976-2650875657-2422772959-1879","Tiano","Tiano","Business Process Manager","","Seattle - Main","EMP175","Business Process Manager in Project Management department","123 Corporate Plaza","(206) 555-6553","Full-time","Seattle","WA","98101"
"Project Management","CN=Margaret Au","True","Margaret","margara","CN=Chris Norred","Margaret Au","user","2cfc0fba-86e9-4107-9a1f-c0e2643cf927","(206) 555-2918","margara","S-1-5-21-331390976-2650875657-2422772959-1880","Au","Au","Business Process Manager","","Seattle - Main","EMP176","Business Process Manager in Project Management department","123 Corporate Plaza","(206) 555-2919","Full-time","Seattle","WA","98101"
"Project Management","CN=Jesper Aaberg","True","Jesper","jespera","CN=Chris Norred","Jesper Aaberg","user","9a7c972f-cff2-47b0-9508-0a60ae0bd846","(206) 555-1783","jespera","S-1-5-21-331390976-2650875657-2422772959-1881","Aaberg","Aaberg","Project Manager","","Seattle - Main","EMP177","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-1784","Full-time","Seattle","WA","98101"
"Project Management","CN=Danni Ortman","True","Danni","dannio","CN=Andrew Ma","Danni Ortman","user","5bddae12-c93b-400e-95ea-7fdd978644f2","(206) 555-6667","dannio","S-1-5-21-331390976-2650875657-2422772959-1882","Ortman","Ortman","Senior Project Manager","","Seattle - Main","EMP178","Senior Project Manager in Project Management department","123 Corporate Plaza","(206) 555-6668","Full-time","Seattle","WA","98101"
"Project Management","CN=Andy Jacobs","True","Andy","andyj","CN=Scott Bishop","Andy Jacobs","user","d614cab3-cbef-4f76-ac89-6272c4296a5b","(206) 555-4262","andyj","S-1-5-21-331390976-2650875657-2422772959-1883","Jacobs","Jacobs","Senior Project Manager","","Seattle - Main","EMP179","Senior Project Manager in Project Management department","123 Corporate Plaza","(206) 555-4263","Full-time","Seattle","WA","98101"
"Operations","CN=Mchiel Wories","True","Mchiel","mchielw","CN=Keith Dishmo","Mchiel Wories","user","0855552e-0a9c-49c9-ab7b-b5b2139d68c7","(206) 555-4539","mchielw","S-1-5-21-331390976-2650875657-2422772959-1884","Wories","Wories","Procurement Manager","","Seattle - Main","EMP180","Procurement Manager in Operations department","123 Corporate Plaza","(206) 555-4540","Full-time","Seattle","WA","98101"
"Project Management","CN=Nuria Gonzalez","True","Nuria","nuriag","CN=Mike Nash","Nuria Gonzalez","user","0b0be144-c523-49bd-9a1e-ce33380f77d8","(206) 555-8185","nuriag","S-1-5-21-331390976-2650875657-2422772959-1885","Gonzalez","Gonzalez","Senior Project Manager","","Seattle - Main","EMP181","Senior Project Manager in Project Management department","123 Corporate Plaza","(206) 555-8186","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Ty Carlson","True","Ty","tyc","CN=Lene Aalling","Ty Carlson","user","b814383c-7677-4688-9657-b7da87029527","(701) 555-4446","tyc","S-1-5-21-331390976-2650875657-2422772959-1886","Carlson","Carlson","Salesperson","","Remote - Field Sales","EMP182","Salesperson in Sales Engagement Management department","Remote Location","(701) 555-4447","Full-time","","",""
"Senior Management","CN=Cassie Hicks","True","Cassie","cassieh","CN=Adam Barr","Cassie Hicks","user","3d2f2dfa-243a-402e-870d-60dd49941a28","(425) 555-0129","cassieh","S-1-5-21-331390976-2650875657-2422772959-1887","Hicks","Hicks","Director of Client Services","","Seattle - Main","EMP183","Director of Client Services in Senior Management department","123 Corporate Plaza","(425) 555-0130","Full-time","Seattle","WA","98101"
"Senior Management","CN=Sean Chai","True","Sean","seanc","CN=Molly Clark","Sean Chai","user","0dd27d49-e37a-4d96-974c-60f1e71ea61c","(425) 555-0193","seanc","S-1-5-21-331390976-2650875657-2422772959-1888","Chai","Chai","Director of Affiliate Marketing and Partnerships","","Seattle - Main","EMP184","Director of Affiliate Marketing and Partnerships in Senior Management department","123 Corporate Plaza","(425) 555-0194","Full-time","Seattle","WA","98101"
"Senior Management","CN=Todd Rowe","True","Todd","toddr","CN=Diane Prescott","Todd Rowe","user","b886a5ce-2ea5-4158-9c3d-3d6f0cf7ef40","(425) 555-0124","toddr","S-1-5-21-331390976-2650875657-2422772959-1889","Rowe","Rowe","Sr. Media Planner","","Seattle - Main","EMP185","Sr. Media Planner in Senior Management department","123 Corporate Plaza","(425) 555-0125","Full-time","Seattle","WA","98101"
"CVP of IT","CN=Tai Lee","True","Tai","tail","CN=Jeff Hay","Tai Lee","user","3d1f6403-e0eb-4324-9640-df6c4f4b3c7b","(425) 555-0131","tail","S-1-5-21-331390976-2650875657-2422772959-1890","Lee","Lee","President of Services","","Seattle - Main","EMP186","President of Services in CVP of IT department","123 Corporate Plaza","(425) 555-0132","Full-time","Seattle","WA","98101"
"Senior Management","CN=Greg Winston","True","Greg","gregw","CN=Jeff Hay","Greg Winston","user","87453529-86f3-419d-99e5-2ab07db70c47","(425) 555-0140","gregw","S-1-5-21-331390976-2650875657-2422772959-1891","Winston","Winston","President of Management","","Seattle - Main","EMP187","President of Management in Senior Management department","123 Corporate Plaza","(425) 555-0141","Full-time","Seattle","WA","98101"
"Executive","CN=Sanjay Shah","True","Sanjay","sanjays","CN=Dan Jump","Sanjay Shah","user","5b25c30e-2a5e-40ac-8ee6-03c009d420da","(425) 555-0107","sanjays","S-1-5-21-331390976-2650875657-2422772959-1892","Shah","Shah","Chief of Technical Strategy","","Seattle - Main","EMP188","Chief of Technical Strategy in Executive department","123 Corporate Plaza","(425) 555-0108","Full-time","Seattle","WA","98101"
"Executive","CN=Toni Poe","True","Toni","tonip","CN=Dan Jump","Toni Poe","user","3b399135-31d6-463b-b91b-368e5b1449d5","(425) 555-0196","tonip","S-1-5-21-331390976-2650875657-2422772959-1893","Poe","Poe","Chief of Partnerships and Strategy","","Seattle - Main","EMP189","Chief of Partnerships and Strategy in Executive department","123 Corporate Plaza","(425) 555-0197","Full-time","Seattle","WA","98101"
"Executive","CN=Jim Daly","True","Jim","jimd","CN=Dan Jump","Jim Daly","user","735489b4-7b2c-4f68-a76e-9156de8da5d6","(425) 555-0116","jimd","S-1-5-21-331390976-2650875657-2422772959-1894","Daly","Daly","CFO","","Seattle - Main","EMP190","CFO in Executive department","123 Corporate Plaza","(425) 555-0117","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Tom Youtsey","True","Tom","tomy","CN=David Simpson","Tom Youtsey","user","dbba0074-e5fc-49ec-bc34-74a6329be754","(206) 555-4331","tomy","S-1-5-21-331390976-2650875657-2422772959-1895","Youtsey","Youtsey","Salesperson","","Seattle - Main","EMP191","Salesperson in Sales Engagement Management department","123 Corporate Plaza","(206) 555-4332","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Kerim Hanif","True","Kerim","kerimh","CN=David Simpson","Kerim Hanif","user","bec96a2e-6811-4aed-92c1-80c10cbef492","(206) 555-5661","kerimh","S-1-5-21-331390976-2650875657-2422772959-1896","Hanif","Hanif","Salesperson","","Seattle - Main","EMP192","Salesperson in Sales Engagement Management department","123 Corporate Plaza","(206) 555-5662","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Jamie Reding","True","Jamie","jamier","CN=David Simpson","Jamie Reding","user","9c2872a2-9f00-42c0-b00d-4842a0fcaef3","(206) 555-2363","jamier","S-1-5-21-331390976-2650875657-2422772959-1897","Reding","Reding","Salesperson","","Seattle - Main","EMP193","Salesperson in Sales Engagement Management department","123 Corporate Plaza","(206) 555-2364","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Ye Xu","True","Ye","yex","CN=Arthur Yasinski","Ye Xu","user","46724360-4b6e-43c9-bb13-b57c7cbd2a12","(214) 555-7757","yex","S-1-5-21-331390976-2650875657-2422772959-1898","Xu","Xu","Salesperson","","Dallas - South","EMP194","Salesperson in Sales Engagement Management department","890 Commerce St","(214) 555-7758","Full-time","Dallas","TX","75202"
"Sales","CN=Marko Zajc","True","Marko","markoz","CN=April Stewart","Marko Zajc","user","ecd55b50-c750-463c-8eaf-ae8be8f0701b","(09) 5555-3784","markoz","S-1-5-21-331390976-2650875657-2422772959-1899","Zajc","Zajc","Salesperson","","Seattle - Main","EMP195","Salesperson in Sales department","123 Corporate Plaza","","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Fabrice Canel","True","Fabrice","fabricc","CN=Arthur Yasinski","Fabrice Canel","user","74e3e1ec-3ff1-4727-8a2c-8e795c246502","(214) 555-8815","fabricc","S-1-5-21-331390976-2650875657-2422772959-1900","Canel","Canel","Salesperson","","Dallas - South","EMP196","Salesperson in Sales Engagement Management department","890 Commerce St","(214) 555-8816","Full-time","Dallas","TX","75202"
"Sales","CN=Pavel Simsa","True","Pavel","pavels","CN=David Simpson","Pavel Simsa","user","df5f44c7-dcbc-4b3d-b8d1-a96021f4e660","(06) 5555-1284","pavels","S-1-5-21-331390976-2650875657-2422772959-1901","Simsa","Simsa","Salesperson","","Seattle - Main","EMP197","Salesperson in Sales department","123 Corporate Plaza","","Full-time","Seattle","WA","98101"
"Sales Engagement Management","CN=Vernette Price","True","Vernette","vernettp","CN=Lene Aalling","Vernette Price","user","10e7c1a2-4a94-497d-a738-3c682f8cf761","(701) 555-6828","vernettp","S-1-5-21-331390976-2650875657-2422772959-1902","Price","Price","Salesperson","","Remote - Field Sales","EMP198","Salesperson in Sales Engagement Management department","Remote Location","(701) 555-6829","Full-time","","",""
"Sales Engagement Management","CN=Nate Sun","True","Nate","nates","CN=Lene Aalling","Nate Sun","user","b43c196e-de75-4752-8a5c-c0a13f9ccb92","(701) 555-7818","nates","S-1-5-21-331390976-2650875657-2422772959-1903","Sun","Sun","Salesperson","","Remote - Field Sales","EMP199","Salesperson in Sales Engagement Management department","Remote Location","(701) 555-7819","Full-time","","",""
"Sales Engagement Management","CN=Tina Makovec","True","Tina","tinam","CN=April Stewart","Tina Makovec","user","05809581-4d1d-4c6b-a895-12e5e129bc04","(804) 555-2465","tinam","S-1-5-21-331390976-2650875657-2422772959-1904","Makovec","Makovec","Salesperson","","Richmond - East","EMP200","Salesperson in Sales Engagement Management department","456 Capitol St","(804) 555-2466","Full-time","Richmond","VA","23219"
"Sales Engagement Management","CN=Neil Orint","True","Neil","neilo","CN=April Stewart","Neil Orint","user","8f732dea-9040-4cc3-bb9f-5a49657d3be5","(804) 555-5958","neilo","S-1-5-21-331390976-2650875657-2422772959-1905","Orint","Orint","Salesperson","","Richmond - East","EMP201","Salesperson in Sales Engagement Management department","456 Capitol St","(804) 555-5959","Full-time","Richmond","VA","23219"
"Sales Engagement Management","CN=Luka Abrus","True","Luka","lukaa","CN=April Stewart","Luka Abrus","user","a69a1b96-822b-4c67-b9f1-a4f52bb27aba","(804) 555-3648","lukaa","S-1-5-21-331390976-2650875657-2422772959-1906","Abrus","Abrus","Salesperson","","Richmond - East","EMP202","Salesperson in Sales Engagement Management department","456 Capitol St","(804) 555-3649","Full-time","Richmond","VA","23219"
"Sales Engagement Management","CN=Euan Garden","True","Euan","euang","CN=April Stewart","Euan Garden","user","dfdadc39-7335-404d-af66-c77cf13a15f8","(804) 555-3383","euang","S-1-5-21-331390976-2650875657-2422772959-1907","Garden","Garden","Salesperson","","Richmond - East","EMP203","Salesperson in Sales Engagement Management department","456 Capitol St","(804) 555-3384","Full-time","Richmond","VA","23219"
"Sales","CN=Eran Harel","True","Eran","eranh","CN=Jose Saraiva","Eran Harel","user","8a883c57-24f4-4bb9-8244-fc03f8cd24f6","(213) 555-1265","eranh","S-1-5-21-331390976-2650875657-2422772959-1908","Harel","Harel","Salesperson","","Los Angeles - West","EMP204","Salesperson in Sales department","567 Sunset Blvd","(213) 555-1266","Full-time","Los Angeles","CA","90028"
"Sales","CN=Michael Ovesen","True","Michael","michaeo","CN=Jose Saraiva","Michael Ovesen","user","601b5da0-1569-4b7b-8678-af4fe73a07c4","(201) 555-5625","michaeo","S-1-5-21-331390976-2650875657-2422772959-1909","Ovesen","Ovesen","Salesperson","","Seattle - Main","EMP205","Salesperson in Sales department","123 Corporate Plaza","(201) 555-5626","Full-time","Seattle","WA","98101"
"Sales","CN=Kim Abercrombie","True","Kim","kima","CN=Jose Saraiva","Kim Abercrombie","user","664725d3-879e-4447-98da-45a39a55acde","(410) 555-3839","kima","S-1-5-21-331390976-2650875657-2422772959-1910","Abercrombie","Abercrombie","Salesperson","","Seattle - Main","EMP206","Salesperson in Sales department","123 Corporate Plaza","(410) 555-3840","Full-time","Seattle","WA","98101"
"Operations","CN=Rob Young","True","Rob","roby","CN=Arturo Lopez","Rob Young","user","5f880cde-c4f9-4480-82ea-0362b5397b0f","(206) 555-1739","roby","S-1-5-21-331390976-2650875657-2422772959-1911","Young","Young","IT Manager","","Seattle - Main","EMP207","IT Manager in Operations department","123 Corporate Plaza","(206) 555-1740","Full-time","Seattle","WA","98101"
"Project Management","CN=Terry Earls","True","Terry","terrye","CN=Mike Nash","Terry Earls","user","8b66e377-10a0-4346-9f98-4098cfcbffa7","(206) 555-3164","terrye","S-1-5-21-331390976-2650875657-2422772959-1912","Earls","Earls","Project Manager","","Seattle - Main","EMP208","Project Manager in Project Management department","123 Corporate Plaza","(206) 555-3165","Full-time","Seattle","WA","98101"
"Operations","CN=Michael Mainer","True","Michael","michaem","CN=Erika Cheley","Michael Mainer","user","82af565f-9620-4754-a2d8-cb4baa18c1d0","(206) 555-4542","michaem","S-1-5-21-331390976-2650875657-2422772959-1913","Mainer","Mainer","Manager","","Seattle - Main","EMP209","Manager in Operations department","123 Corporate Plaza","(206) 555-4543","Full-time","Seattle","WA","98101"
